"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","moderationStatus","parentId"
"13","@dobbynobbins9629","https://yt3.ggpht.com/ytc/AIdro_kX98eSZ4uLkf1vaC8Zgdq0pRilBBFFLUrtRpJhPTO8Cvk=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@dobbynobbins9629","UCiPbn4EvKV8G-7mRWDOaggg","EQNIVVPMsT4","this is abuse","this is abuse",TRUE,"none",2,"2025-05-16T17:54:43Z","2025-05-16T17:54:43Z","UgzdsaxfreAO22wlzBp4AaABAg",NA,NA
"14","@Youreherewithme","https://yt3.ggpht.com/ytc/AIdro_kIQd925lZn3kNvSQBuSIvxotU3QPyWJUGr6nl8J4Bbkl1bcFpzgHabStJf-LedxUFwQA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Youreherewithme","UC8ZKtIiK-0SZ8FrqyTeU38g","EQNIVVPMsT4","Im 35, it wasnt that long ago when I was a kid and this was unheard then. I will tell you why this is happening. Its because there are sickos out there telling kids that you can choose your gender. Its in schools, all over the internet and plastered on the tv. It shows how that wasnt the case when I was a kid and it never happened. If my little boy came to me and said that he wanted to be a girl I would say &#39;too bad you are a boy and you cant choose&#39;. If it got out of hand id be taking him to a psychiatrist not some &#39;gender clinic&#39;. These a very dark times and its no good talking about it people need to do something about it.","Im 35, it wasnt that long ago when I was a kid and this was unheard then. I will tell you why this is happening. Its because there are sickos out there telling kids that you can choose your gender. Its in schools, all over the internet and plastered on the tv. It shows how that wasnt the case when I was a kid and it never happened. If my little boy came to me and said that he wanted to be a girl I would say 'too bad you are a boy and you cant choose'. If it got out of hand id be taking him to a psychiatrist not some 'gender clinic'. These a very dark times and its no good talking about it people need to do something about it.",TRUE,"none",0,"2025-05-16T09:11:28Z","2025-05-16T09:11:28Z","UgyzHv7wDKOSpSJgu4t4AaABAg",NA,NA
"15","@charliehancock8867","https://yt3.ggpht.com/ytc/AIdro_l_SCQ-DNM4LCUPwlmKLNUcqzuUzLFH83Kg_fZ2F_CoyQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@charliehancock8867","UC070TM_OfrK4BXCg6IYEP2w","EQNIVVPMsT4","&quot;this is boys playing with dolls or girls kicking a football&quot; no. It absolutely is not. It is young people that are experiencing distress with their gender. We are talking about specialised care to help them. Toddlers  do not medically transition in the UK at all. Some children were prescribed hormone blockers before the Cass Report (which has been proven to be bias). Children have never had gender related surgeries in the UK - that has always been handled by the adult services that they get handed over to at 18. <br><br>You know when we have &quot;transitioned&quot; babies? Intersex people. Until VERY recent times it was relatively standard that when a baby is born with a DSD or any kind of &quot;ambiguous genitalia&quot; the doctor would operate on the baby to align their body with gender norms and encourage the parent to raise them in accordance to the surgery performed... This leads to a very confused human with a lot of unpicking to do... but that is the only &quot;gender affirming surgery&quot; that has ever been given to a minor in the UK and completely without their knowledge and consent. <br><br>Zero media coverage about medically treating a baby into something that assimilates heteronormativity - but a toddler wants a haircut and a to be called another name and its on GB News.","""this is boys playing with dolls or girls kicking a football"" no. It absolutely is not. It is young people that are experiencing distress with their gender. We are talking about specialised care to help them. Toddlers  do not medically transition in the UK at all. Some children were prescribed hormone blockers before the Cass Report (which has been proven to be bias). Children have never had gender related surgeries in the UK - that has always been handled by the adult services that they get handed over to at 18. 

You know when we have ""transitioned"" babies? Intersex people. Until VERY recent times it was relatively standard that when a baby is born with a DSD or any kind of ""ambiguous genitalia"" the doctor would operate on the baby to align their body with gender norms and encourage the parent to raise them in accordance to the surgery performed... This leads to a very confused human with a lot of unpicking to do... but that is the only ""gender affirming surgery"" that has ever been given to a minor in the UK and completely without their knowledge and consent. 

Zero media coverage about medically treating a baby into something that assimilates heteronormativity - but a toddler wants a haircut and a to be called another name and its on GB News.",TRUE,"none",1,"2025-05-16T08:49:07Z","2025-05-16T08:49:07Z","UgzNzgZNA9Yh1L7piyV4AaABAg",NA,NA
"16","@janemorgan5477","https://yt3.ggpht.com/ytc/AIdro_nnIRUmuuO6W_tIk9D-YmL6t0uNruYgC8TeTjvYqXKl6c9FXiAP47jKyuLrHos6hE_DZw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@janemorgan5477","UCr8ZZBHbKmHA5pC2Us8nqag","EQNIVVPMsT4","Our son spent three months as a 3 year old wearing his sister’s ballet tutus and Barbie pink skirts. No one at kindy said anything until one day he decided he wanted to wear his own clothes and one of the other boys said “oh Joe’s wearing boys clothes today”. That was it. He just liked how the skirts twirled.","Our son spent three months as a 3 year old wearing his sister’s ballet tutus and Barbie pink skirts. No one at kindy said anything until one day he decided he wanted to wear his own clothes and one of the other boys said “oh Joe’s wearing boys clothes today”. That was it. He just liked how the skirts twirled.",TRUE,"none",0,"2025-05-16T03:00:42Z","2025-05-16T03:00:42Z","UgyUpcsaRjenpIeiH9J4AaABAg",NA,NA
"17","@FortValance","https://yt3.ggpht.com/ytc/AIdro_nYQvAmUyrYtkF2soc7ppz6IxaER9_xGSrVZLHiG4eUGMeY1Tl-U5nqn34h_UtOew4GdA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@FortValance","UCbbXMN39wiQeobZqlCbjL7w","EQNIVVPMsT4","There&#39;s no such thing as a Transgender toddler....   <br>   No toddler could possibly have a clue what transgender even is.....  im still struggling to understand it","There's no such thing as a Transgender toddler....   
   No toddler could possibly have a clue what transgender even is.....  im still struggling to understand it",TRUE,"none",2,"2025-05-15T23:52:08Z","2025-05-15T23:52:08Z","UgygeGuBipULmSXUFWN4AaABAg",NA,NA
"18","@Joy-w5j","https://yt3.ggpht.com/ytc/AIdro_mXl5vEZetSFCfuG2B7_VLqc38fE5TVJMtL_CGIeMUbdXJf55quvy5KONcX81xCv66Llw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Joy-w5j","UCLW0X-F0Ibiiq4mi6ABTb_Q","EQNIVVPMsT4","Child abuse by all who actually touch these children or give unnecessary drugs.","Child abuse by all who actually touch these children or give unnecessary drugs.",TRUE,"none",0,"2025-05-15T21:20:21Z","2025-05-15T21:20:21Z","Ugy8dJOzhuAC9rPGUhV4AaABAg",NA,NA
"19","@melanytodd2929","https://yt3.ggpht.com/ytc/AIdro_l75ABwLq-35ecTuRuE4r5YfGRAfCD1z-68piuh6N8=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@melanytodd2929","UCDfX6UvqpTNbfyeyXxYoOpA","EQNIVVPMsT4","Oh, good grief 😢","Oh, good grief 😢",TRUE,"none",0,"2025-05-15T20:19:27Z","2025-05-15T20:19:27Z","Ugzv-c7FEpJ3J5_0qSR4AaABAg",NA,NA
"20","@JJKOS-75","https://yt3.ggpht.com/ytc/AIdro_kYMMi0wLwRKUKmMznXj0wb63b6_DhAw2tjsE9GllGKcw7nWg00vQQY5eSlnvCNU_8LZw0=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@JJKOS-75","UCkUoRdNWAWfXyfQ-8YZy6nw","EQNIVVPMsT4","My nephew liked to play with his cousin sister&#39;s dolls, pushchairs. Now he is 19 and he doesn&#39;t question and never questioned his gender. This is all about, as said in the video: Lucrative business, experiment with children and also depopulation. The similar when people castrate pets.","My nephew liked to play with his cousin sister's dolls, pushchairs. Now he is 19 and he doesn't question and never questioned his gender. This is all about, as said in the video: Lucrative business, experiment with children and also depopulation. The similar when people castrate pets.",TRUE,"none",2,"2025-05-15T20:09:03Z","2025-05-15T20:09:03Z","UgwNuM2pgqpAdTwUICZ4AaABAg",NA,NA
"21","@Joy-w5j","https://yt3.ggpht.com/ytc/AIdro_mXl5vEZetSFCfuG2B7_VLqc38fE5TVJMtL_CGIeMUbdXJf55quvy5KONcX81xCv66Llw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Joy-w5j","UCLW0X-F0Ibiiq4mi6ABTb_Q","EQNIVVPMsT4","Asked for a scaletrix when young &amp; had all football kit until my mid-teens as loved footie! Now an adult and have no interest in females sexually only men, pure heterosexual.🤬👇💩⚓️","Asked for a scaletrix when young & had all football kit until my mid-teens as loved footie! Now an adult and have no interest in females sexually only men, pure heterosexual.🤬👇💩⚓️",TRUE,"none",1,"2025-05-15T21:22:49Z","2025-05-15T21:22:49Z","UgwNuM2pgqpAdTwUICZ4AaABAg.AI9UAhMWtgoAI9bc-CY1Ck",NA,"UgwNuM2pgqpAdTwUICZ4AaABAg"
"22","@DjTheBlondeSpirit","https://yt3.ggpht.com/tVtnm1rQtqUftY6AfH5r-9bsgq87QQVvrRv8IDoHI3vWTdpcTnKf3CI8bKqqff1YjfTTqNhG=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@DjTheBlondeSpirit","UCVXWpREv99MvFphHH9bvlNg","EQNIVVPMsT4","This isnt true. Stop lying","This isnt true. Stop lying",TRUE,"none",2,"2025-05-15T19:42:31Z","2025-05-15T19:42:31Z","UgyXk_WZKHNWQ4a4qq54AaABAg",NA,NA
