"","EntryPublished","the_day","posted_on_YT","keyword","video_ID","yt_long_ID","channel name","EntryURL","region","RSS"
"1","September 15, 2023 at 11:38PM","2023-09-15",NA,"biological sex",NA,NA,NA,"https://www.youtube.com/playlist?list=PLTgNsAaFzbI20fRaq8RaLYpR1BKqpLIiE","all regions",17630397442231169024
"2","June 07, 2023 at 05:23AM","2023-06-07",NA,"transgenderism",NA,NA,NA,"https://www.youtube.com/@JohnAndersonConversations",NA,15658552694435684352
