"","V1","V2","V3","V4"
"17","XjK-APB7__4","2023-02-03T15:30:09Z","The Sun","UCIzXayRP7-P0ANpq-nD-h5g"
"18","Mv0-9wPI8vE","2023-02-04T18:39:36Z","KUTV 2 News Salt Lake City","UCFVUStJ4azXbWMhFO4yTELg"
"19","Vb38ou_nfb0","2023-02-04T18:46:50Z","KUTV 2 News Salt Lake City","UCFVUStJ4azXbWMhFO4yTELg"
"20","mMK49sQp_dM","2023-02-04T14:35:01Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"21","1KW_lmpP6VY","2023-02-04T17:12:57Z","Navbharat Times नवभारत टाइम्स","UCl8wUKzoUVzg7U6ky1ZR8hQ"
"22","vyOOcbLXRvE","2023-02-07T20:15:02Z","Newsmax","UCx6h-dWzJ5NpAlja1YsApdg"
"23","vITIfqnr-fI","2023-02-10T17:54:57Z","10 Tampa Bay News","UCMYlXK0jyerVnc3dmz-vjCA"
"24","dQ_GWaF47A4","2023-02-12T00:14:32Z","KFOR Oklahoma's News 4","UCEUYiWFyzpEBMZ3aG7ud7xg"
"25","1pD2vMGItlw","2023-02-13T13:39:31Z","Times Of India","UCckHqySbfy5FcPP6MD_S-Yg"
"26","11wb7N5LhH4","2023-02-13T23:31:48Z","KCCI","UCKATGvvbOznaWNZcOBCLGng"
"27","yM9zyHwjWHM","2023-02-14T00:20:08Z","KCAU-TV Sioux City","UCt8HBx7cWdo6dkuj1lsPf2g"
"28","L_PdFzuX0rA","2023-02-13T23:24:14Z","WTXL - Tallahassee, FL","UCqU2iMFdzqfexHNfxTcPJzw"
"29","61WX7AMFQB8","2023-02-15T00:40:33Z","KTVB","UCVKYCeuR3OyO-M2rfUXHDyg"
"30","IVATBDYGRgQ","2023-02-15T20:00:06Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"31","jHHPpdOYcIg","2023-02-01T12:38:06Z","Good Morning Britain","UCq18eeL7D9Vd8DhjMcLh9QQ"
"32","7UWdaXzvVk0","2023-01-22T08:07:00Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"33","0TVYWIZ9MZo","2023-01-25T00:41:41Z","ABC4 Utah","UCCjsvWYJ00k9T6C20iBH2-g"
"34","hss2QWJaQaA","2023-01-25T13:52:13Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"35","ZyTu4rKTDTk","2023-01-26T20:31:32Z","Sky News","UCoMdktPbSTixAyNGwb-UYkQ"
"36","GxTy5ZXMN1U","2023-01-29T19:23:09Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"37","ZksfwACA_5I","2023-01-29T14:13:48Z","Make_news","UC9Hzk7udHgyGIjhrvFrjrFw"
"38","Q40mxNqVFtY","2023-02-10T19:23:34Z","KSDK News","UCVHTypjbrXH-maZaIkwweJA"
"39","vobNEe-1gmg","2023-03-06T21:15:12Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"40","XTacrQs0XuE","2023-03-07T23:31:33Z","WMUR-TV","UCwuZjWoiT30kDTz0G41Y8gQ"
"41","crHYFMfnEg0","2023-03-11T00:20:54Z","FOX 4 Dallas-Fort Worth","UCruQg25yVBppUWjza8AlyZA"
"42","3M1S10S9xfo","2023-03-11T02:16:41Z","NBC4 Washington","UC1VKVKhJLc7PjdPPVxTDk0Q"
"43","2wymeBF82GU","2023-03-17T16:39:45Z","11Alive","UCzF4Ryn8TKn64md77gS5Q5Q"
"44","XEyO6Vi18OE","2023-03-17T04:58:51Z","KTVB","UCVKYCeuR3OyO-M2rfUXHDyg"
"45","PIyTzebkxG0","2023-03-17T22:13:25Z","KOCO 5 News","UCoIhMkbeDRBImkGiA5mZp5A"
"46","onqBfPQvsyo","2023-03-17T22:47:14Z","Atlanta News First ","UCWElIIlFx2JiyI9UVrbrEcw"
"47","jyRcvRlDT4w","2023-03-19T08:15:52Z","Bleeding Heartland","UCMGJ70Qbo42gxa9NVdiHIhg"
"48","aWzIkoClQ6g","2023-03-19T15:23:40Z","Channel 3000 / News 3 Now","UCeX20-rTnN46DUD6C7IplWg"
"49","5aYhj6Ueooo","2023-03-21T07:36:45Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"50","lV5DsXgDX0c","2023-03-24T16:44:35Z","TEDx Talks","UCsT0YIqwnpJCM-mx7-gSA4Q"
"51","iqLLYuaDs_4","2023-03-28T19:28:46Z","CBC News","UCuFFtHWoLl5fauMMD5Ww2jA"
"52","-DS8WGaCMhI","2023-02-13T09:13:31Z","Switch","UCjFKMoAk3qhRkW4eOqNm6dw"
"53","9ifLa92AwfI","2023-02-13T19:32:36Z","Novara Media","UCOzMAa6IhV6uwYQATYG_2kg"
"54","Q507qZRYTEA","2023-02-16T03:51:54Z","FOX 2 St. Louis","UClMs26ViHFMy7MS897Alcxw"
"55","9Vo6pW4TVIM","2023-02-18T16:30:02Z","The Institute of Art and Ideas","UCTsiZiMomJo6FOyiBaFeaIw"
"56","pLCAlMRpYzc","2023-02-19T16:00:33Z","The Hill","UCPWXiRWZ29zrxPFIQT7eHSA"
"57","U25cD6zoHZo","2023-02-20T23:34:30Z","FOX59 News","UCktceZtn0Kxd53qjjM2KzqA"
"58","rkT-uwoUDAs","2023-02-21T04:13:33Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"59","ftdetwIWmuI","2023-02-21T04:29:54Z","ABC 7 Chicago","UC_vFLohxs5PkAxlk7Y6jEtw"
"60","mO1rUmJEVIY","2023-02-20T22:28:39Z","WSLS 10","UCaFgN6V43Xo1pRjQ4PjlSqw"
"61","seZmv13DvW4","2023-02-21T12:47:15Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"62","4m9A0_dYG7A","2023-02-22T00:40:09Z","CNN","UCupvZG-5ko_eiXAupbDfxWw"
"63","E6JD5sx6XcE","2023-02-22T22:52:57Z","WFLA News Channel 8","UCDvJcb8Adv-_bOrtnRLmiDw"
"64","cd5HocCDxQk","2023-02-25T02:54:16Z","FOX43 News","UCyWzxBs28XSI4_5NAmKFYbw"
"65","AA58eDJZo00","2023-02-26T18:20:31Z","Sky News","UCoMdktPbSTixAyNGwb-UYkQ"
"66","wXHz2PEybpc","2023-03-02T01:12:48Z","WISN 12 News","UC8Tm7Xuz8QekHzjsDxgFNnw"
"67","0TohMjgBAuo","2023-03-05T05:45:46Z","Tribun Pontianak","UCu9g2ID__kol_6aqQJTn9kg"
"68","1BuiHZh4FRw","2023-05-20T00:45:00Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"69","v4cVc7Q6_Q8","2023-05-21T03:05:28Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"70","8KPPKV2qKtU","2023-05-22T07:27:44Z","BOL News","UCz2yxQJZgiB_5elTzqV7FiQ"
"71","eIkyDRhxjFA","2023-05-22T12:34:29Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"72","4JJk_Z9Yz0M","2023-05-22T22:00:04Z","NJ Spotlight News","UCa80ZoUUvKdOpuWN6khnWaA"
"73","pK3prsZbcn0","2023-05-22T23:37:37Z","KTVB","UCVKYCeuR3OyO-M2rfUXHDyg"
"74","EU-XlQkfxiQ","2023-05-23T17:25:03Z","KTAR News","UC4abf1syFz5KZ6w3vRMRHoQ"
"75","Hz6vfFS42jo","2023-05-23T22:00:16Z","PBS Hawaiʻi","UCia7ArQd6KTk0jzwE5ck4XA"
"76","Cxx83lpXMA8","2023-05-23T22:39:57Z","WFAA","UCBu0KdNokE4MqdkacvH37_A"
"77","TQgL9ikM1LM","2023-05-24T02:43:29Z","Scripps News","UCTln5ss6h6L_xNfMeujfPbg"
"78","sU9Adcupw_U","2023-05-24T13:23:32Z","CBC News","UCuFFtHWoLl5fauMMD5Ww2jA"
"79","-jgsRSNW-iY","2023-05-24T21:39:50Z","NBC4 Columbus","UCDFLiE2iGUvlZMmhemzy6eA"
"80","IInJhYPEVZQ","2023-05-24T23:15:02Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"81","rpIIunnCias","2023-05-25T03:02:57Z","KUSI News","UC61Ms-qN_-mdtF_Dw5hsRYw"
"82","Bz7Z2kPYWYo","2023-05-25T16:26:08Z","KUSI News","UC61Ms-qN_-mdtF_Dw5hsRYw"
"83","Rkf3XSNhhnU","2023-05-25T18:56:50Z","NBC 6 South Florida","UCBgcPSn61UQ4l_-FvcEgLQA"
"84","6MNZVCSeqKo","2023-05-26T10:37:32Z","BBC News","UC16niRr50-MSBwiO3YDb3RA"
"85","gDrcRELnCAU","2023-05-26T17:24:48Z","KCCI","UCKATGvvbOznaWNZcOBCLGng"
"86","sBijTW1hJoo","2023-05-26T22:01:05Z","Sky News","UCoMdktPbSTixAyNGwb-UYkQ"
"87","04x8nbLxpWM","2023-05-27T03:00:00Z","Fox Business","UCCXoCcu9Rp7NPbTzIvogpZg"
"88","5r2OqzNrEcM","5r2OqzNrEcM","5r2OqzNrEcM","5r2OqzNrEcM"
"89","sqlZXOur_qg","2023-05-27T15:00:39Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"90","uXZf3TlPni4","2023-05-28T01:20:25Z","KCCI","UCKATGvvbOznaWNZcOBCLGng"
"91","e1SYTtkjLro","e1SYTtkjLro","e1SYTtkjLro","e1SYTtkjLro"
"92","E1iy-nNHHw0","2023-05-29T07:10:45Z","Live Law","UCdIawGl2i_LOIHmGUw1S9Ug"
"93","N45v2troTX0","2023-05-29T09:05:32Z","eNCA","UCI3RT5PGmdi1KVp9FG_CneA"
"94","yzJMfx_1hto","2023-05-29T12:03:41Z","CNBC-TV18","UCmRbHAgG2k2vDUvb3xsEunQ"
"95","auP1nbrZ4Mo","2023-05-29T17:18:32Z","Tom W Huxley","UCAxnhoy382KFzavRqsnsz3Q"
"96","eWZg6GcRU-o","2023-05-30T11:37:07Z","AP Archive","UCHTK-2W11Vh1V4uwofOfR4w"
"97","u4mN4ccx7t0","2023-05-30T09:34:21Z","The Trump Report","UCTjDhFuGXlhx9Us0gq0VK2w"
"98","GSmyiT6dZ_w","2023-05-30T18:37:03Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"99","T0RlA1mQoO8","2023-05-30T21:15:31Z","Sky News","UCoMdktPbSTixAyNGwb-UYkQ"
"100","z34JPJvmzL8","2023-05-31T00:09:53Z","WAAY 31 News","UCpQiwFjomzBHJN-TpdLZxBg"
"101","VSeQOCPbCAM","2023-05-31T17:36:10Z","CBS Mornings","UC-SJ6nODDmufqBzPBwCvYvQ"
"102","ZtKG9QK4ELc","2023-06-01T03:04:30Z","News4JAX The Local Station","UC_YFbvKedjnVjqrZqBR4L8Q"
"103","F4dLuVu5F84","2023-06-01T11:27:22Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"104","KBmhr1im0fw","2023-06-01T22:53:23Z","FOX43 News","UCyWzxBs28XSI4_5NAmKFYbw"
"105","Z7rb6rAuF6o","2023-06-02T02:15:00Z","ABC News","UCBi2mrWuNuyYy4gbM6fU18Q"
"106","b1PvoK1e5Ms","2023-05-13T18:49:49Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"107","7uY-HOIqL7w","2023-05-14T17:07:46Z","Zee 24 Taas","UCVbsFo8aCgvIRIO9RYwsQMA"
"108","syeJw9GNcfQ","2023-05-14T21:29:40Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"109","TO3NmISY240","2023-05-14T22:30:05Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"110","EQikicCSPlo","2023-05-15T03:14:06Z","News4JAX The Local Station","UC_YFbvKedjnVjqrZqBR4L8Q"
"111","smsO6SSK0Hs","2023-05-15T13:54:49Z","WHNT News 19","UCV8mxYCe-Tauwd09rS9cOVg"
"112","YInmyfCPy0o","2023-05-15T11:00:26Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"113","uzPI3mtnDmc","2023-05-15T22:19:35Z","KMIZ ABC 17 News","UCxm4UwriiF_GYrWXmhe7J_g"
"114","5qynS-LFOgY","2023-05-15T23:00:22Z","6abc Philadelphia","UCw77677G3EAODp61b0izs7w"
"115","irH5xp4A2E4","2023-05-16T00:36:53Z","NEWS CENTER Maine","UCQAUoXXSGHSntpTPvWwvXbg"
"116","Nzij1LDo2x0","2023-05-15T20:21:37Z","Piers Morgan Uncensored","UCatt7TBjfBkiJWx8khav_Gg"
"117","bwUd3O2O7FY","2023-05-16T10:52:06Z","The Independent","UCshwRhftzkiov5wKR7M_LsQ"
"118","-1y_hfR3Zgk","2023-05-17T12:54:44Z","KXAN","UCgBVz3EzHYKpPS0BITvLRsg"
"119","Vt60SD9XMDA","2023-05-17T11:38:58Z","KSDK News","UCVHTypjbrXH-maZaIkwweJA"
"120","r43QMNe3jnI","2023-05-17T13:13:17Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"121","SiPy8qcZ19o","2023-05-17T13:30:12Z","Fox News","UCXIJgqnII2ZOINSWNOGFThA"
"122","EvPCmEjvC4w","2023-05-18T00:25:58Z","KXAN","UCgBVz3EzHYKpPS0BITvLRsg"
"123","Q9ADQwQoSLY","2023-05-17T20:43:47Z","WFLA News Channel 8","UCDvJcb8Adv-_bOrtnRLmiDw"
"124","Vep-FpMWs4A","2023-05-18T03:29:12Z","CBS New York","UCNZyLULUQBp5e9Q1cKtvk6Q"
"125","dqVA8BHQcgY","2023-05-18T03:45:15Z","WFAA","UCBu0KdNokE4MqdkacvH37_A"
"126","j6G18_o3ebY","2023-05-18T09:42:07Z","Sky News","UCoMdktPbSTixAyNGwb-UYkQ"
"127","_yZe2bOx_is","2023-05-18T22:56:27Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"128","N_wROaCBI_o","2023-05-19T13:22:39Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ"
"129","FD_brjpAk2c","2023-05-19T15:46:00Z","Independent Women","UCg_s5BRCyjhOHbOyZQC3gDg"
"130","e_NIdtV3F4Q","2023-05-20T11:44:37Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"131","Hs5Z2P3JXAU","2023-05-21T01:16:09Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"132","l5MxeeQfsgw","2023-05-23T13:10:12Z","FOX 4 Dallas-Fort Worth","UCruQg25yVBppUWjza8AlyZA"
"133","pP8quUGsc-I","2023-05-26T10:20:34Z","Sky News","UCoMdktPbSTixAyNGwb-UYkQ"
"134","oQPy9dXRz1A","2023-04-19T14:08:41Z","Newsweek","UC2a35q7eyzkfoIusBzdH4Hw"
"135","UQgGyPfO3WQ","2023-04-19T16:40:13Z","WDHN","UC9CujfB962dlYdxBkalY_WA"
"136","sNvLN2Y7JD0","2023-04-19T03:02:55Z","WESH 2 News","UCD9nZ3qeRGbPuHJaJduiQxA"
"137","WUB77t0oLjw","2023-04-19T23:56:07Z","ABC7 News Bay Area","UCYUbNjkuE4lsr2v1Id2O1oA"
"138","NJuK8HWkQoo","2023-04-20T03:25:41Z","CBS Miami","UCXJryYh6xcW5iEeJGzK191A"
"139","_YyTpCaNNCc","2023-04-20T02:37:03Z","WESH 2 News","UCD9nZ3qeRGbPuHJaJduiQxA"
"140","WwTbUczx-jE","2023-04-20T16:34:45Z","ABC News","UCBi2mrWuNuyYy4gbM6fU18Q"
"141","xBIBDik_wCY","2023-04-20T18:30:51Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"142","K3_soGb6iIM","2023-04-20T21:01:30Z","Free Speech TV","UCv1RrKT8zaa5J1ueqCmMfsw"
"143","JGw3NQJUi-A","2023-04-21T13:45:00Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"144","qFB0B99I838","2023-04-21T15:22:45Z","Iowa's News Now","UCMZHX2oh_s9kFhmCRCNosuw"
"145","baucRfIDYOE","2023-04-21T15:09:29Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"146","X5Nk_SBph1Q","2023-04-22T00:07:32Z","CNN","UCupvZG-5ko_eiXAupbDfxWw"
"147","lQnqh6AIlY4","2023-04-22T11:04:45Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"148","dxVNbNC31FI","2023-04-22T18:00:22Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"149","IAsEJ29xV-A","2023-04-23T13:27:04Z","CBS Sunday Morning","UCVT1tPkR-fUVlO652EcO3ow"
"150","YPeynsE75AI","2023-04-23T00:30:20Z","MS NOW","UCaXkIU1QidjPwiAYu6GcHjg"
"151","5385E-b_de0","2023-04-23T20:45:00Z","Forbes Breaking News","UCg40OxZ1GYh3u3jBntB6DLg"
"152","ByCarb7wU4Q","2023-04-24T03:24:10Z","KMIZ ABC 17 News","UCxm4UwriiF_GYrWXmhe7J_g"
"153","Q6_WlEtynxE","2023-04-24T16:42:17Z","WPTV News - FL Palm Beaches and Treasure Coast","UC0bCUnP5RrkJZUtd3bBz6Kw"
"154","ZpKgHijjqOA","2023-04-24T22:07:30Z","FOX59 News","UCktceZtn0Kxd53qjjM2KzqA"
"155","Sci3YmYL3-k","2023-04-25T07:31:07Z","CNN-News18","UCef1-8eOpJgud7szVPlZQAQ"
"156","RvkhRlbctd8","2023-04-25T13:40:37Z","Newsweek","UC2a35q7eyzkfoIusBzdH4Hw"
"157","K6LzPJoSccg","2023-04-25T22:34:55Z","WGN News","UCDrLGkZTcNCshOLiKi5NtEw"
"158","9Dru0sFA9ms","2023-04-26T12:02:33Z","CBS Mornings","UC-SJ6nODDmufqBzPBwCvYvQ"
"159","I7ynJLRZpNU","2023-04-26T15:30:04Z","ABC News","UCBi2mrWuNuyYy4gbM6fU18Q"
"160","GwhGIY-GQhs","2023-04-26T23:19:29Z","WWLTV","UCJCreS7pODbA6XYRsI5fdLg"
"161","rvzWojv2Wvc","2023-04-26T22:58:19Z","PBS NewsHour","UC6ZFN9Tx6xh-skXCuRHCDpQ"
"162","JcUP_bR8aGw","2023-04-27T04:15:00Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"163","NyRKWeHvmPU","2023-04-27T11:10:41Z","ABC News","UCBi2mrWuNuyYy4gbM6fU18Q"
"164","ymvdni4sBfU","2023-04-28T01:02:43Z","ABC News In-depth","UCxcrzzhQDj5zKJbXfIscCtg"
"165","X6Jqx5Aj8Ew","2023-04-28T13:30:15Z","NBC News","UCeY0bbntWzzVIaj2z3QigXg"
"166","Fu-0wRTymgE","2023-04-28T17:22:54Z","CBS News","UC8p1vwvWtl6T73JiExfWs1g"
"167","C6tkC9YGHiE","2023-04-28T20:32:06Z","Good Morning America","UCH1oRy1dINbMVp3UFWrKP0w"
"168","rxwB6-C92Gs","2023-04-28T23:51:00Z","FOX 26 Houston","UC4OqEJz6oABzz_7nu29zF3A"
"169","ml0_J6X9CFY","2023-04-29T14:13:58Z","10 Tampa Bay News","UCMYlXK0jyerVnc3dmz-vjCA"
"170","U-l1XSiN-7Q","2023-04-29T21:00:14Z","The Hill","UCPWXiRWZ29zrxPFIQT7eHSA"
"171","tE_eEbu_-S4","2023-05-01T03:55:14Z","CNN-News18","UCef1-8eOpJgud7szVPlZQAQ"
"172","BjhM5wzxasg","2023-05-01T09:02:15Z","Times Of India","UCckHqySbfy5FcPP6MD_S-Yg"
"173","5G4ECfOaHPk","2023-05-01T11:35:19Z","KSDK News","UCVHTypjbrXH-maZaIkwweJA"
"174","s5mWXte0tyk","2023-04-05T12:01:19Z","Good Morning Britain","UCq18eeL7D9Vd8DhjMcLh9QQ"
"175","AV-9TPRQWCY","2023-04-05T16:45:00Z","The A.V. Club","UCsDdQUPa4NvPvf2f00E5zfw"
"176","PjGFooDpfWc","2023-04-05T23:16:00Z","KMBC 9","UCWTkpYvniGIUe1jeCncFzKw"
"177","s1V2umhH4mA","2023-04-06T16:21:25Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"178","zgc80XUyoCw","2023-04-06T23:18:25Z","CBS Evening News","UCAeWdyKJXGWmVAXFpgLNNTg"
"179","zEYqwtHwYqA","2023-04-07T00:59:15Z","CBS News","UC8p1vwvWtl6T73JiExfWs1g"
"180","9czJJaQt4-Q","2023-04-07T18:21:22Z","ABC News","UCBi2mrWuNuyYy4gbM6fU18Q"
"181","hJm762lNCF4","2023-04-07T05:33:09Z","KTVU FOX 2 San Francisco","UCVhtkN7-c8mA8GXEoxS4YQw"
"182","rUGh2gJCY18","2023-04-07T22:43:21Z","PBS NewsHour","UC6ZFN9Tx6xh-skXCuRHCDpQ"
"183","Ov6OHyKsZb0","2023-04-08T05:53:10Z","KSBY News","UChIlR_Uhv1366IAxT1ORbTA"
"184","v_DIjZNY-P0","2023-04-11T04:13:53Z","FOX Carolina News","UCEm0gdukLIfI9P-LzLy2DIQ"
"185","-fqpqFxwHO8","2023-04-11T14:57:12Z","KREM 2 News","UCExxWMXIf8UR5xb4eQTdh7A"
"186","u1b_4sLnY50","2023-04-12T00:42:20Z","FOX40 News","UC64F2oovpjsxy06vTdrJG-g"
"187","O1EJH5ChgOE","2023-04-11T22:21:03Z","10 Tampa Bay News","UCMYlXK0jyerVnc3dmz-vjCA"
"188","pZVODlzGcfA","2023-04-11T16:52:23Z","PoliticsJOE","UCyzkxMLeZDcd_Qhzh6uMgbg"
"189","RofVXJhQhyk","2023-04-12T00:06:23Z","WESH 2 News","UCD9nZ3qeRGbPuHJaJduiQxA"
"190","Aj6xwdQDIQU","2023-04-12T12:50:55Z","WJCL News","UC4DGZQHLsQRK3v8lKTGu_Uw"
"191","q4uQtYyS9R4","2023-04-12T21:00:33Z","Tampa Bay 28","UCK0UUsCjtMRNtS3BPh1Yc4w"
"192","ZA9BwA4uO1o","2023-04-12T16:00:32Z","DW Documentary","UCW39zufHfsuGgpLviKh297Q"
"193","Tw-ELvWl3J0","2023-04-12T16:00:30Z","Dr. Phil","UCYLR1ghzYNyvfjw78raCuxA"
"194","XTCkoPsOR1M","2023-04-13T19:29:02Z","Rebel News Canada","UCOwtpxZT8kXYfoj0W4XBrjw"
"195","OBFobuNLMoM","2023-04-13T23:37:34Z","O’Keefe Media Group","UCjl4caubo8dWBlNTaMcrVQg"
"196","LnmeswvzL1w","2023-04-14T03:46:23Z","11Alive","UCzF4Ryn8TKn64md77gS5Q5Q"
"197","SwvaTpMKvDY","2023-04-14T21:30:02Z","BBC News","UC16niRr50-MSBwiO3YDb3RA"
"198","Y7BhUFO8pMc","2023-04-14T17:43:45Z","The Christian Institute","UCeEPehSV8K34BL4PFzcTHkA"
"199","bovOvG7CrIk","2023-04-15T14:27:43Z","Channel 3000 / News 3 Now","UCeX20-rTnN46DUD6C7IplWg"
"200","XA2B17ID0dk","2023-04-16T04:19:13Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"201","iNmvJFVehxk","2023-04-16T20:53:26Z","FOX 2 St. Louis","UClMs26ViHFMy7MS897Alcxw"
"202","Pns3m_9wBBE","2023-04-17T07:55:00Z","Geo News","UC_vt34wimdCzdkrzVejwX9g"
"203","85zvTMFv9Ck","2023-04-17T19:26:19Z","ABC 7 Chicago","UC_vFLohxs5PkAxlk7Y6jEtw"
"204","9abx5qFrU90","9abx5qFrU90","9abx5qFrU90","9abx5qFrU90"
"205","XFJmkr6LIqs","2023-04-18T01:14:21Z","KTLA 5","UCinjnmQEwCddOudyCC1v7qA"
"206","hooooE6KoL0","2023-04-18T18:29:01Z","TalkTV","UCm0yTweyAa0PwEIp0l3N_gA"
"207","OW7QtGijxCE","2023-04-18T23:04:19Z","WAVY TV 10","UC5DOK_H_fkhHBw_7pl0TViQ"
"208","b9XnkW0Mt3s","2023-04-18T20:30:21Z","Piers Morgan Uncensored","UCatt7TBjfBkiJWx8khav_Gg"
"209","x_zUdmtDhZQ","2023-04-19T08:18:53Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"210","zERSvByjwRo","2023-08-14T16:12:26Z","WKMG News 6 ClickOrlando","UCjpzEgbbDUg4YC6vpSrzsyg"
"211","KedMx5SaP7U","2023-08-14T19:30:04Z","Fox News","UCXIJgqnII2ZOINSWNOGFThA"
"212","iINQAILw8E8","2023-08-15T12:03:03Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw"
"213","3P7SYfX88SY","2023-08-15T10:51:16Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"214","yrD0pjO5pBg","2023-08-15T20:46:05Z","CTV News","UCi7Zk9baY1tvdlgxIML8MXg"
"215","Ued1SCZSFwc","2023-08-15T21:29:39Z","FOX 5 Atlanta","UCjHWv2DU5-HLpogAAr386DQ"
"216","S7hazULqwug","2023-08-15T21:33:07Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"217","gREj0enT80Y","2023-08-15T23:25:35Z","Denver7","UC-2MJlKSq9_pYk5-bdvMhnw"
"218","R04ImVjah3A","2023-08-16T10:47:58Z","WCNC","UC-RxXi2Xws6Uk22vp-sLbGA"
"219","E39U8FqVhhg","2023-08-16T11:30:16Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"220","hc-EvS1PRCs","2023-08-16T22:15:10Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"221","yJZ24c9JxdQ","2023-08-16T22:34:44Z","CBS New York","UCNZyLULUQBp5e9Q1cKtvk6Q"
"222","bEz4pqLWn4k","2023-08-17T06:17:42Z","4 News Now","UCyw-NpaizmAD_5qQJ4MieVg"
"223","03N3AAdNLAM","2023-08-17T21:36:39Z","11Alive","UCzF4Ryn8TKn64md77gS5Q5Q"
"224","ler_aakuxS4","2023-08-17T21:36:42Z","FOX 5 Atlanta","UCjHWv2DU5-HLpogAAr386DQ"
