"","V1","V2","V3","V4"
"1","_w_SaS3jQu4","2023-01-23T19:50:49Z","The Hill","UCPWXiRWZ29zrxPFIQT7eHSA"
"2","ojm-6AwEEZw","2023-01-24T00:30:39Z","FOX59 News","UCktceZtn0Kxd53qjjM2KzqA"
"3","qyLyxydSwJY","2023-01-26T11:33:59Z","Free Speech TV","UCv1RrKT8zaa5J1ueqCmMfsw"
"4","Ssxabq-v_Bg","2023-01-25T05:30:04Z","Fox News","UCXIJgqnII2ZOINSWNOGFThA"
"5","HwpNh7KWqTk","2023-01-26T09:30:03Z","The Mirror","UC3EmxrWVl7K8xBH_UVIWY4Q"
"6","NUR0F54pXhg","2023-01-26T16:30:03Z","The Mirror","UC3EmxrWVl7K8xBH_UVIWY4Q"
"7","nufmjkzNOAo","2023-01-26T07:12:52Z","CBS 8 San Diego","UCMscWako8oDvpdF4pppku-g"
"8","I7yKHKh3d7k","2023-01-27T19:44:15Z","DW News","UCknLrEdhRCp1aegoMqRaCZg"
"9","I16lSK76whY","2023-01-27T23:45:05Z","UCLA","UCPpw6jRIL1B9nU0k7-GujOQ"
"10","KWUIsQ7PChQ","2023-01-30T00:49:32Z","Geo News","UC_vt34wimdCzdkrzVejwX9g"
"11","WJBTyxM8q-w","2023-01-30T22:40:09Z","First Coast News","UCJCdiZtw9zStiR3xgnp7qlg"
"12","HO5bpop3THA","2023-01-30T23:09:48Z","WUSA9","UCcT6w3xUyVshyR2_2vrMp1w"
"13","5DEt_4AIv1U","2023-01-30T22:59:31Z","13News Now","UCODc8Pa-_WUMaVRp9dvmNmw"
"14","YYmKZwvpPOk","2023-01-31T11:43:43Z","Good Morning Britain","UCq18eeL7D9Vd8DhjMcLh9QQ"
"15","nNoARO0djTM","2023-01-31T12:28:05Z","ABC7 News Bay Area","UCYUbNjkuE4lsr2v1Id2O1oA"
"16","2BY9XE6LexI","2023-02-01T03:31:04Z","KCCI","UCKATGvvbOznaWNZcOBCLGng"
