"","EntryPublished","the_day","year","month","video_ID","posted_on_YT","channel name","yt_long_ID","EntryTitle","EntryURL","keyword","region","RSS"
"17","November 02, 2023 at 05:59PM","2023-11-02",2023,11,"_LQPkVV7V0I","_LQPkVV7V0I","_LQPkVV7V0I","_LQPkVV7V0I","Willie J Healey, Black Honey, Katie Gregson-MacLeod | S2 EP9 | GONZO - YouTube","https://www.youtube.com/watch?v=_LQPkVV7V0I","gender ideology","all regions",8717893479030415360
"18","October 24, 2023 at 06:44PM","2023-10-24",2023,10,"_NjJ3QVDf7I","2023-10-24T10:43:43Z","GBNews","UC0vn8ISa4LKMunLbzaXLnOQ","Should parents be given details of their child's sex education lessons? - YouTube","https://www.youtube.com/watch?v=_NjJ3QVDf7I","gender ideology","all regions",8717893479030415360
"19","November 16, 2023 at 12:32PM","2023-11-16",2023,11,"_NY2fL1VhoM","2023-11-16T16:36:22Z","Fox Business","UCCXoCcu9Rp7NPbTzIvogpZg","SOCIALLY, MORALLY WRONG': Miss Universe goes bankrupt under transgender owner","https://www.youtube.com/watch?v=_NY2fL1VhoM","transgender","all regions",1916116072231156224
"20","August 21, 2023 at 12:16AM","2023-08-21",2023,8,"_OMtBsdjjMw","2023-08-20T20:53:50Z","WFXR NEWS","UC8Lg5y3YmAcVbkkuA0meA3w","Christiansburg starts program for bear-resistant trash carts - YouTube","https://www.youtube.com/watch?v=_OMtBsdjjMw","gender identity","USA",4028362110021709824
"21","June 27, 2023 at 10:14PM","2023-06-27",2023,6,"_OQf1hLaBUw","2023-06-27T22:45:01Z","Newsmax","UCx6h-dWzJ5NpAlja1YsApdg","Father: Gender ideology completely destroyed my son | Carl Higbie FRONTLINE - YouTube","https://www.youtube.com/watch?v=_OQf1hLaBUw","gender ideology","all regions",8717893479030415360
"22","July 22, 2023 at 02:55PM","2023-07-22",2023,7,"_p2Ont31LBM","2023-07-22T17:56:07Z","CNN","UCupvZG-5ko_eiXAupbDfxWw","DeSantis on the defense after Harris visit - YouTube","https://www.youtube.com/watch?v=_p2Ont31LBM","gender identity","all regions",14792114867614312448
"23","November 22, 2023 at 08:19PM","2023-11-22",2023,11,"_StPUFDiQm0","2023-11-22T18:31:36Z","NTVUganda","UCwga1dPCqBddbtq5KYRii2g","Todwong: Party leaders should understand party ideology - YouTube","https://www.youtube.com/watch?v=_StPUFDiQm0","gender ideology","all regions",8717893479030415360
"24","March 16, 2023 at 11:36AM","2023-03-16",2023,3,"_v25XMV6pKk","2023-03-16T09:15:46Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw","Philosopher reveals biggest 'threat' to Western civilisation - YouTube","https://www.youtube.com/watch?v=_v25XMV6pKk","gender ideology","all regions",8717893479030415360
"25","June 23, 2023 at 12:14PM","2023-06-23",2023,6,"_VaPGNQklQc","2023-06-23T03:39:09Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw","State of California can take away children if parents don't affirm gender identity - YouTube","https://www.youtube.com/watch?v=_VaPGNQklQc","gender identity","USA",4028362110021709824
"26","June 23, 2023 at 12:14PM","2023-06-23",2023,6,"_VaPGNQklQc","2023-06-23T03:39:09Z","Sky News Australia","UCO0akufu9MOzyz3nvGIXAAw","State of California can take away children if parents don't affirm gender identity - YouTube","https://www.youtube.com/watch?v=_VaPGNQklQc","gender identity","all regions",14792114867614312448
