"","year","pullURL","url_stub","country","publication","pubdate","articleID"
"53",2026,"pressreader.com","eswatini/saturday-observer-eswatini-9zb4/20260131/283077010673865","eswatini","saturday observer eswatini 9zb4","20260131","283077010673865"
"54",2025,"pressreader.com","eswatini/sunday-observer-eswatini-9ZB5/20251019/282522959686183","eswatini","sunday observer eswatini 9ZB5","20251019","282522959686183"
"55",2025,"pressreader.com","france/euronews-english-edition/20251128/282110642907302","france","euronews english edition","20251128","282110642907302"
"56",2025,"pressreader.com","france/euronews-english-edition/20251102/281612426647662","france","euronews english edition","20251102","281612426647662"
"57",2025,"pressreader.com","france/euronews-english-edition/20250731/282454240048198","france","euronews english edition","20250731","282454240048198"
"58",2025,"pressreader.com","france/euronews-english-edition/20250623/282162182193026","france","euronews english edition","20250623","282162182193026"
"59",2025,"pressreader.com","france/euronews-english-edition/20250623/282162182193026","france","euronews english edition","20250623","282162182193026"
"60",2025,"pressreader.com","germany/deutsche-welle-english-edition/20251223/282054808382667","germany","deutsche welle english edition","20251223","282054808382667"
"61",2026,"pressreader.com","germany/deutsche-welle-english-edition/20260102/282110642974467","germany","deutsche welle english edition","20260102","282110642974467"
"62",2026,"pressreader.com","germany/deutsche-welle-english-edition/20260102/282110642974467","germany","deutsche welle english edition","20260102","282110642974467"
"63",2025,"pressreader.com","germany/deutsche-welle-english-edition/20250906/281595246662711","germany","deutsche welle english edition","20250906","281595246662711"
"64",2025,"pressreader.com","germany/deutsche-welle-english-edition/20250906/281629606401079","germany","deutsche welle english edition","20250906","281629606401079"
"65",2025,"pressreader.com","germany/deutsche-welle-english-edition/20250912/282531549545364","germany","deutsche welle english edition","20250912","282531549545364"
"66",2025,"pressreader.com","germany/deutsche-welle-english-edition/20250905/282488599858151","germany","deutsche welle english edition","20250905","282488599858151"
"67",2025,"pressreader.com","germany/deutsche-welle-english-edition/20251117/282518664777213","germany","deutsche welle english edition","20251117","282518664777213"
"68",2025,"pressreader.com","germany/deutsche-welle-english-edition/20251223/282054808382667","germany","deutsche welle english edition","20251223","282054808382667"
"69",2025,"pressreader.com","germany/deutsche-welle-english-edition/20250906/281629606401079","germany","deutsche welle english edition","20250906","281629606401079"
"70",2025,"pressreader.com","germany/deutsche-welle-english-edition/20250906/282480009925687","germany","deutsche welle english edition","20250906","282480009925687"
"71",2025,"pressreader.com","germany/deutsche-welle-english-edition/20250912/282531549545364","germany","deutsche welle english edition","20250912","282531549545364"
"72",2026,"pressreader.com","guyana/stabroek-news-sunday/20260118/282037628562510","guyana","stabroek news sunday","20260118","282037628562510"
"73",2025,"pressreader.com","india/dt-next/20250526/281762750177544","india","dt next","20250526","281762750177544"
"74",2025,"pressreader.com","india/mint-delhi/20250203/281621016028800","india","mint delhi","20250203","281621016028800"
"75",2025,"pressreader.com","india/mint-delhi/20250614/281904484138118","india","mint delhi","20250614","281904484138118"
"76",2025,"pressreader.com","india/mint-delhi/20250203/281621016028800","india","mint delhi","20250203","281621016028800"
"77",2025,"pressreader.com","india/mint-delhi/20250614/281904484138118","india","mint delhi","20250614","281904484138118"
"78",2025,"pressreader.com","india/the-asian-age/20250517/281831469637219","india","the asian age","20250517","281831469637219"
